No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,b_J,18.15,+/-0.12,mag,6.41E14,2.17E-4,2.54E-5,2.54E-5,,,+/-2.54E-05,Jy,1990MNRAS.243..692M,rms uncertainty,4680      A,Broad-band measurement,224532.62 -160403.7 (B1950),Flux integrated from map,,From new raw data
2,J (2MASS/CTIO),15.343,+/-0.087,mag,2.43E14,0.00116,9.31E-5,9.31E-5,,,+/-9.31E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
3,J (2MASS/CTIO),14.796,+/-0.047,mag,2.43E14,0.00192,8.33E-5,8.33E-5,,,+/-8.33E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
4,J,14.292,+/-0.088,mag,2.4E14,0.00306,2.58E-4,2.58E-4,,,+/-2.58E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,,From new raw data
5,J_14arcsec (2MASS),14.474,+/-0.068,mag,2.4E14,0.00258,1.67E-4,1.67E-4,,,+/-1.67E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
6,J,14.546,+/-0.067,mag,2.4E14,0.00242,1.54E-4,1.54E-4,,,+/-1.54E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.6 x    9.6 arcsec integration area.,From new raw data
7,H_14arcsec (2MASS),13.923,+/-0.100,mag,1.82E14,0.00276,2.66E-4,2.66E-4,,,+/-2.66E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
8,H,13.884,+/-0.150,mag,1.82E14,0.00286,4.24E-4,4.24E-4,,,+/-4.24E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,,From new raw data
9,H,13.958,+/-0.088,mag,1.82E14,0.00267,2.26E-4,2.26E-4,,,+/-2.26E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.6 x    9.6 arcsec integration area.,From new raw data
10,H (2MASS/CTIO),14.681,+/-0.086,mag,1.8E14,0.00137,1.09E-4,1.09E-4,,,+/-1.09E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
11,H (2MASS/CTIO),14.051,+/-0.073,mag,1.8E14,0.00245,1.65E-4,1.65E-4,,,+/-1.65E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
12,K_s (2MASS/CTIO),14.189,+/-0.095,mag,1.39E14,0.00141,1.23E-4,1.23E-4,,,+/-1.23E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
13,K_s (2MASS/CTIO),13.707,+/-0.084,mag,1.39E14,0.00219,1.7E-4,1.7E-4,,,+/-1.70E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
14,K_s,13.425,+/-0.105,mag,1.38E14,0.00284,2.89E-4,2.89E-4,,,+/-2.89E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.6 x    9.6 arcsec integration area.,From new raw data
15,K_s,13.242,+/-0.156,mag,1.38E14,0.00337,5.2E-4,5.2E-4,,,+/-5.20E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,,From new raw data
16,K_s_14arcsec (2MASS),13.377,+/-0.115,mag,1.38E14,0.00297,3.32E-4,3.32E-4,,,+/-3.32E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,224812.38 -154811.8 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
17,W1 (WISE),13.32,+/-0.025,mag,8.94E13,0.00145,3.35E-5,3.35E-5,,,+/-3.35E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
18,W1 (WISE),13.204,+/-0.012,mag,8.94E13,0.00162,1.79E-5,1.79E-5,,,+/-1.79E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
19,W1 (WISE),13.079,+/-0.02,mag,8.94E13,0.00182,3.35E-5,3.35E-5,,,+/-3.35E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
20,W2 (WISE),13.15,+/-0.03,mag,6.51E13,9.44E-4,2.61E-5,2.61E-5,,,+/-2.61E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
