No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,b_J,19.98,+/-0.14,mag,6.41E14,4.02E-5,5.54E-6,5.54E-6,,,+/-5.54E-06,Jy,1990MNRAS.243..692M,rms uncertainty,4680      A,Broad-band measurement,224447.50 -160953.9 (B1950),Flux integrated from map,,From new raw data
2,J (2MASS/CTIO),16.975,+/-0.191,mag,2.43E14,2.59E-4,4.55E-5,4.55E-5,,,+/-4.55E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
3,J (2MASS/CTIO),16.309,+/-0.267,mag,2.43E14,4.77E-4,1.17E-4,1.17E-4,,,+/-1.17E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
4,H (2MASS/CTIO),16.018,+/-0.185,mag,1.8E14,4.01E-4,6.83E-5,6.83E-5,,,+/-6.83E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
5,H (2MASS/CTIO),15.314,+/-0.129,mag,1.8E14,7.67E-4,9.11E-5,9.11E-5,,,+/-9.11E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
6,K_s (2MASS/CTIO),15.104,+/-0.149,mag,1.39E14,6.06E-4,8.31E-5,8.31E-5,,,+/-8.31E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
7,K_s (2MASS/CTIO),14.78,+/-0.12,mag,1.39E14,8.17E-4,9.03E-5,9.03E-5,,,+/-9.03E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
8,W1 (WISE),14.66,+/-0.032,mag,8.94E13,4.23E-4,1.25E-5,1.25E-5,,,+/-1.25E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
9,W1 (WISE),14.48,+/-0.023,mag,8.94E13,5.0E-4,1.06E-5,1.06E-5,,,+/-1.06E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
10,W1 (WISE),14.318,+/-0.038,mag,8.94E13,5.8E-4,2.03E-5,2.03E-5,,,+/-2.03E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
11,W2 (WISE),14.446,+/-0.056,mag,6.51E13,2.86E-4,1.48E-5,1.48E-5,,,+/-1.48E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
12,W2 (WISE),14.369,+/-0.065,mag,6.51E13,3.07E-4,1.84E-5,1.84E-5,,,+/-1.84E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
13,W2 (WISE),14.434,+/-0.138,mag,6.51E13,2.89E-4,3.68E-5,3.68E-5,,,+/-3.68E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
14,W3 (WISE),,>11.609,mag,2.59E13,,,,7.2E-4,,<7.20E-04,Jy,2013wise.rept....1C,95% confidence,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
15,W3 (WISE),,>12.096,mag,2.59E13,,,,4.6E-4,,<4.60E-04,Jy,2013wise.rept....1C,95% confidence,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
16,W3 (WISE),,>12.417,mag,2.59E13,,,,3.42E-4,,<3.42E-04,Jy,2013wise.rept....1C,95% confidence,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data
17,W4 (WISE),,>8.791,mag,1.36E13,,,,0.00255,,<2.55E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
18,W4 (WISE),,>8.047,mag,1.36E13,,,,0.00505,,<5.05E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data
19,W4 (WISE),,>8.279,mag,1.36E13,,,,0.00408,,<4.08E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data
